,session_id,user_id,course_id,exam_id,question,points,max_points,time,hint_count,time_spent,correct
292,391,2436,42,17,175,0,1,1684317043,0,2,0
293,391,2436,42,17,176,0,1,1684317043,0,2,0
294,391,2436,42,17,177,0,1,1684317043,0,2,0
295,391,2436,42,17,178,0,1,1684317043,0,2,0
296,391,2436,42,17,179,0,1,1684317043,0,4,0
297,391,2436,42,17,181,0,1,1684317043,0,2,0
298,391,2436,42,17,182,0,1,1684317043,0,2,0
299,392,2436,42,17,172,0,1,1684317220,0,0,0
300,392,2436,42,17,173,0,1,1684317220,0,3,0
301,392,2436,42,17,174,1,1,1684317220,0,2,1
302,392,2436,42,17,175,1,1,1684317220,0,2,1
303,392,2436,42,17,176,1,1,1684317220,0,2,1
304,392,2436,42,17,177,0,1,1684317220,0,2,0
305,392,2436,42,17,178,0,1,1684317220,0,2,0
306,392,2436,42,17,179,0,1,1684317220,0,2,0
307,392,2436,42,17,181,1,1,1684317220,0,2,1
308,392,2436,42,17,182,0,1,1684317220,0,2,0
309,393,2436,42,19,198,0,1,1684327862,0,3,0
310,393,2436,42,19,200,0,1,1684327862,0,0,0
311,393,2436,42,19,201,0,1,1684327862,0,2,0
312,393,2436,42,19,202,0,1,1684327862,0,2,0
313,393,2436,42,19,204,0,1,1684327862,0,2,0
314,393,2436,42,19,205,1,1,1684327862,0,2,1
315,393,2436,42,19,206,1,1,1684327862,0,4,1
316,393,2436,42,19,209,0,1,1684327862,0,16,0
317,393,2436,42,19,210,0,1,1684327862,0,7,0
318,394,2436,42,17,172,0,1,1684330828,0,0,0
319,394,2436,42,17,173,0,1,1684330828,0,2,0
320,394,2436,42,17,174,0,1,1684330828,0,2,0
321,394,2436,42,17,175,0,1,1684330828,0,2,0
322,394,2436,42,17,176,0,1,1684330828,0,3,0
323,394,2436,42,17,177,0,1,1684330828,0,3,0
324,394,2436,42,17,178,0,1,1684330828,0,2,0
325,394,2436,42,17,179,0,1,1684330828,0,3,0
326,394,2436,42,17,181,0,1,1684330828,0,2,0
327,394,2436,42,17,182,0,1,1684330828,0,2,0
328,395,2436,42,20,213,0,1,1684335842,0,0,0
329,395,2436,42,20,214,0,1,1684335842,0,2,0
330,395,2436,42,20,215,0,1,1684335842,0,4,0
331,395,2436,42,20,216,0,1,1684335842,0,4,0
332,395,2436,42,20,217,0,1,1684335842,0,3,0
333,395,2436,42,20,218,1,1,1684335842,0,3,1
334,395,2436,42,20,219,1,1,1684335842,0,2,1
335,395,2436,42,20,220,0,1,1684335842,0,3,0
336,395,2436,42,20,221,0,1,1684335842,0,2,0
337,396,2436,42,20,213,0,1,1684340401,0,0,0
338,396,2436,42,20,214,0,1,1684340401,0,3,0
339,396,2436,42,20,215,0,1,1684340401,0,2,0
340,396,2436,42,20,216,1,1,1684340401,0,2,1
341,396,2436,42,20,217,0,1,1684340401,0,2,0
342,396,2436,42,20,218,1,1,1684340401,0,2,1
343,396,2436,42,20,219,0,1,1684340401,0,2,0
344,396,2436,42,20,220,0,1,1684340401,0,2,0
345,396,2436,42,20,221,1,1,1684340401,0,2,1
346,397,2436,42,20,213,0,1,1684340536,0,0,0
347,397,2436,42,20,214,0,1,1684340536,0,2,0
348,397,2436,42,20,215,0,1,1684340536,0,3,0
349,397,2436,42,20,216,0,1,1684340536,0,2,0
350,397,2436,42,20,217,1,1,1684340536,0,2,1
351,397,2436,42,20,218,0,1,1684340536,0,3,0
352,397,2436,42,20,219,1,1,1684340536,0,2,1
353,397,2436,42,20,220,0,1,1684340536,0,2,0
354,397,2436,42,20,221,1,1,1684340536,0,2,1
355,398,2436,42,20,213,0,1,1684394988,0,0,0
356,398,2436,42,20,214,1,1,1684394988,0,2,1
357,398,2436,42,20,215,0,1,1684394988,0,3,0
358,398,2436,42,20,216,0,1,1684394988,0,4,0
359,398,2436,42,20,217,0,1,1684394988,0,2,0
360,398,2436,42,20,218,1,1,1684394988,0,2,1
361,398,2436,42,20,219,0,1,1684394988,0,2,0
362,398,2436,42,20,220,0,1,1684394988,0,2,0
363,398,2436,42,20,221,1,1,1684394988,0,2,1
364,399,2436,42,20,213,0,1,1684395080,0,0,0
365,399,2436,42,20,214,1,1,1684395080,0,2,1
366,399,2436,42,20,215,0,1,1684395080,0,2,0
367,399,2436,42,20,216,1,1,1684395080,0,2,1
368,399,2436,42,20,217,0,1,1684395080,0,2,0
369,399,2436,42,20,218,0,1,1684395080,0,2,0
370,399,2436,42,20,219,0,1,1684395080,0,4,0
371,399,2436,42,20,220,0,1,1684395080,0,3,0
372,399,2436,42,20,221,0,1,1684395080,0,2,0
373,408,2436,42,12,126,1,1,1686319815,0,0,1
374,408,2436,42,12,127,0,1,1686319815,0,2,0
375,408,2436,42,12,128,0,1,1686319815,0,3,0
376,408,2436,42,12,129,0,1,1686319815,0,3,0
377,408,2436,42,12,130,0,1,1686319815,0,2,0
378,408,2436,42,12,131,0,1,1686319815,0,2,0
379,408,2436,42,12,132,1,1,1686319815,0,2,1
380,408,2436,42,12,133,0,1,1686319815,0,2,0
381,408,2436,42,12,134,0,1,1686319815,0,2,0
382,408,2436,42,12,135,0,1,1686319815,0,2,0
383,408,2436,42,12,136,0,1,1686319815,0,3,0
384,408,2436,42,12,137,0,1,1686319815,0,2,0
385,408,2436,42,12,138,0,1,1686319815,0,3,0
386,408,2436,42,12,139,0,1,1686319815,0,2,0
387,409,2330,42,12,126,0,1,1686321570,0,11,0
388,409,2330,42,12,127,0,1,1686321570,0,17,0
389,409,2330,42,12,128,1,1,1686321570,0,24,1
390,409,2330,42,12,129,1,1,1686321570,0,7,1
391,409,2330,42,12,130,0,1,1686321570,0,4,0
392,409,2330,42,12,131,0,1,1686321570,0,2,0
393,409,2330,42,12,132,1,1,1686321570,0,3,1
394,409,2330,42,12,133,0,1,1686321570,0,25,0
395,409,2330,42,12,134,1,1,1686321570,0,5,1
396,409,2330,42,12,135,0,1,1686321570,0,299,0
397,409,2330,42,12,136,0,1,1686321570,0,3,0
398,409,2330,42,12,137,1,1,1686321570,0,2,1
399,409,2330,42,12,138,0,1,1686321570,0,2,0
400,409,2330,42,12,139,0,1,1686321570,0,797,0
401,410,2330,42,12,126,0,1,1686386538,0,0,0
402,410,2330,42,12,127,0,1,1686386538,0,2,0
403,410,2330,42,12,128,0,1,1686386538,0,2,0
404,410,2330,42,12,129,1,1,1686386538,0,2,1
405,410,2330,42,12,130,0,1,1686386538,0,1,0
406,410,2330,42,12,131,0,1,1686386538,0,2,0
407,410,2330,42,12,132,0,1,1686386538,0,1,0
408,410,2330,42,12,133,0,1,1686386538,0,1,0
409,410,2330,42,12,134,1,1,1686386538,0,2,1
410,410,2330,42,12,135,0,1,1686386538,0,2,0
411,410,2330,42,12,136,0,1,1686386538,0,2,0
412,410,2330,42,12,137,1,1,1686386538,0,2,1
413,410,2330,42,12,138,0,1,1686386538,0,1,0
414,410,2330,42,12,139,1,1,1686386538,0,2,1
415,411,2330,42,13,140,0,1,1686386609,0,0,0
416,411,2330,42,13,141,0,1,1686386609,0,2,0
417,411,2330,42,13,142,1,1,1686386609,0,2,1
418,411,2330,42,13,143,1,1,1686386609,0,2,1
419,411,2330,42,13,144,1,1,1686386609,0,2,1
420,411,2330,42,13,145,1,1,1686386609,0,2,1
421,411,2330,42,13,146,0,1,1686386609,0,2,0
422,411,2330,42,13,147,0,1,1686386609,0,2,0
423,412,2330,42,15,164,1,1,1686392116,0,1,1
424,412,2330,42,15,165,0,1,1686392116,0,3,0
425,412,2330,42,15,166,0,1,1686392116,0,3,0
426,412,2330,42,15,167,0,1,1686392116,0,3,0
427,413,2330,42,4,25,0,1,1686392169,0,0,0
428,413,2330,42,4,26,0,1,1686392169,0,3,0
429,413,2330,42,4,27,0,1,1686392169,0,2,0
430,413,2330,42,4,30,1,1,1686392169,0,3,1
431,413,2330,42,4,33,0,1,1686392169,0,2,0
432,413,2330,42,4,34,1,1,1686392169,0,2,1
433,414,2436,42,38,348,0,1,1686404068,0,0,0
434,414,2436,42,38,349,0,1,1686404068,0,2,0
435,414,2436,42,38,350,0,1,1686404068,0,2,0
436,414,2436,42,38,352,0,1,1686404068,0,2,0
437,414,2436,42,38,353,0,1,1686404068,0,2,0
438,414,2436,42,38,354,0,1,1686404068,0,3,0
439,414,2436,42,38,355,0,1,1686404068,0,3,0
440,415,2330,42,17,172,1,1,1686561250,0,2,1
441,415,2330,42,17,173,1,1,1686561250,0,4,1
442,415,2330,42,17,174,0,1,1686561250,0,2,0
443,415,2330,42,17,175,0,1,1686561250,0,2,0
444,415,2330,42,17,176,0,1,1686561250,0,2,0
445,415,2330,42,17,177,1,1,1686561250,0,2,1
446,415,2330,42,17,178,0,1,1686561250,0,2,0
447,415,2330,42,17,179,0,1,1686561250,0,2,0
448,415,2330,42,17,181,1,1,1686561250,0,2,1
449,415,2330,42,17,182,0,1,1686561250,0,2,0
450,416,2330,42,18,183,0,1,1686561361,0,0,0
451,416,2330,42,18,184,0,1,1686561361,0,2,0
452,416,2330,42,18,185,0,1,1686561361,0,2,0
453,416,2330,42,18,186,0,1,1686561361,0,2,0
454,416,2330,42,18,187,1,1,1686561361,0,2,1
455,416,2330,42,18,188,0,1,1686561361,0,2,0
456,416,2330,42,18,189,0,1,1686561361,0,2,0
457,416,2330,42,18,190,0,1,1686561361,0,2,0
458,416,2330,42,18,191,1,1,1686561361,0,2,1
459,416,2330,42,18,192,0,1,1686561361,0,2,0
460,416,2330,42,18,193,0,1,1686561361,0,2,0
461,416,2330,42,18,194,0,1,1686561361,0,2,0
462,416,2330,42,18,195,0,1,1686561361,0,2,0
463,416,2330,42,18,196,0,1,1686561361,0,3,0
464,417,2330,42,19,198,0,1,1686561427,0,2,0
465,417,2330,42,19,200,0,1,1686561427,0,0,0
466,417,2330,42,19,201,0,1,1686561427,0,2,0
467,417,2330,42,19,202,0,1,1686561427,0,2,0
468,417,2330,42,19,204,1,1,1686561427,0,2,1
469,417,2330,42,19,205,0,1,1686561427,0,2,0
470,417,2330,42,19,206,0,1,1686561427,0,2,0
471,417,2330,42,19,209,0,1,1686561427,0,3,0
472,417,2330,42,19,210,0,1,1686561427,0,10,0
